Combo_ID,Blocks_Count,Feature_Count,Combo_Name,Bets_Count,Win_Pct,ROI
1449,6,20,R5_攻防 + R10_四因子 + R10_節奏 + R5_節奏 + 傷病_NetRating + 傷病_PIE,562,59.07,12.24
1470,6,22,R20_四因子 + R10_四因子 + R10_節奏 + R5_節奏 + 傷病_NetRating + 傷病_PIE,579,57.86,9.93
749,5,17,Elo戰力 + R10_四因子 + R10_節奏 + R5_節奏 + 傷病_PIE,649,57.78,9.78
525,4,14,R20_四因子 + R5_節奏 + 傷病_NetRating + 傷病_PIE,578,57.27,8.81
1113,6,21,Elo戰力 + R40_攻防 + R20_四因子 + R5_節奏 + 傷病_NetRating + 傷病_PIE,655,57.25,8.78
1589,7,24,Elo戰力 + R40_攻防 + R20_四因子 + R10_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE,669,57.25,8.77
542,4,14,R10_四因子 + R10_節奏 + 傷病_NetRating + 傷病_PIE,589,57.22,8.71
792,5,20,R40_攻防 + R5_攻防 + R20_四因子 + 傷病_NetRating + 傷病_PIE,605,57.19,8.66
931,5,18,R5_攻防 + R20_四因子 + R5_節奏 + 傷病_NetRating + 傷病_PIE,584,57.19,8.66
1057,6,24,Elo戰力 + R40_攻防 + R5_攻防 + R10_四因子 + R40_攻防差值 + 傷病_NetRating,590,57.12,8.53
1786,7,27,R5_攻防 + R20_四因子 + R10_四因子 + R20_節奏 + R5_節奏 + R40_攻防差值 + 傷病_NetRating,527,57.12,8.52
1711,7,28,R40_攻防 + R5_攻防 + R20_四因子 + R10_四因子 + R10_節奏 + 傷病_NetRating + 傷病_PIE,622,57.07,8.44
986,5,20,R20_四因子 + R10_四因子 + R5_節奏 + 傷病_NetRating + 傷病_PIE,559,57.07,8.43
1659,7,23,Elo戰力 + R5_攻防 + R10_四因子 + R10_節奏 + R5_節奏 + 傷病_NetRating + 傷病_PIE,619,57.03,8.35
1339,6,18,R40_攻防 + R5_攻防 + R20_節奏 + R5_節奏 + 傷病_NetRating + 傷病_PIE,598,57.02,8.34
1481,6,18,R10_四因子 + R20_節奏 + R10_節奏 + R5_節奏 + 傷病_NetRating + 傷病_PIE,570,57.02,8.33
