Combo_ID,Blocks_Count,Feature_Count,Combo_Name,Bets_Count,Win_Pct,ROI
1477,6,21,R40_攻防 + R10_四因子 + R10_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE,570,58.95,12.0
731,5,16,R20_四因子 + R10_節奏 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,567,58.55,11.25
3268,10,30,Elo戰力 + R40_攻防 + R10_四因子 + R20_節奏 + R10_節奏 + R5_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,606,58.25,10.68
1770,7,26,Elo戰力 + R40_攻防 + R5_攻防 + R20_四因子 + R40_攻防差值 + 傷病_NetRating + 傷病_Fantasy,616,58.12,10.42
2977,8,28,R5_攻防 + R20_四因子 + R10_四因子 + R10_節奏 + R5_節奏 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,569,58.0,10.19
1233,6,20,Elo戰力 + R10_四因子 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,622,57.88,9.97
2302,7,20,R40_攻防 + R5_攻防 + R10_節奏 + R5_節奏 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,614,57.65,9.54
584,5,18,R5_攻防 + R20_四因子 + R10_節奏 + 傷病_NetRating + 傷病_PIE,572,57.52,9.28
1345,6,22,R40_攻防 + R5_攻防 + R10_四因子 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,623,57.46,9.18
356,5,20,R40_攻防 + R5_攻防 + R20_四因子 + 傷病_NetRating + 傷病_PIE,604,57.45,9.16
3251,10,32,Elo戰力 + R40_攻防 + R5_攻防 + R20_四因子 + R10_節奏 + R5_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,631,57.37,9.0
3077,9,30,Elo戰力 + R40_攻防 + R5_攻防 + R10_四因子 + R10_節奏 + R5_節奏 + R40_攻防差值 + 傷病_PIE + 傷病_Fantasy,602,57.31,8.89
3279,10,35,R40_攻防 + R5_攻防 + R20_四因子 + R10_四因子 + R20_節奏 + R10_節奏 + R5_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE,580,57.24,8.76
2237,7,24,R40_攻防 + R5_攻防 + R20_四因子 + R10_節奏 + R5_節奏 + 傷病_NetRating + 傷病_PIE,596,57.21,8.71
2245,7,25,R40_攻防 + R5_攻防 + R20_四因子 + R5_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_Fantasy,588,57.14,8.57
2573,8,27,Elo戰力 + R40_攻防 + R5_攻防 + R20_四因子 + R10_節奏 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,653,57.12,8.53
3290,11,38,Elo戰力 + R40_攻防 + R5_攻防 + R20_四因子 + R10_四因子 + R20_節奏 + R10_節奏 + R5_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE,606,57.1,8.48
1567,6,20,R5_攻防 + R20_四因子 + R10_節奏 + R5_節奏 + 傷病_PIE + 傷病_Fantasy,571,57.09,8.48
1707,6,18,R10_四因子 + R10_節奏 + R5_節奏 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,594,57.07,8.43
721,5,16,R20_四因子 + R20_節奏 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,596,57.05,8.39
3219,9,31,R5_攻防 + R20_四因子 + R10_四因子 + R20_節奏 + R5_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,577,57.02,8.34
2942,8,29,R40_攻防 + R20_四因子 + R10_四因子 + R10_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,609,56.98,8.26
695,5,20,R20_四因子 + R10_四因子 + R5_節奏 + 傷病_NetRating + 傷病_PIE,595,56.97,8.25
725,5,16,R20_四因子 + R10_節奏 + R5_節奏 + 傷病_NetRating + 傷病_PIE,567,56.97,8.24
744,5,16,R10_四因子 + R20_節奏 + R10_節奏 + 傷病_NetRating + 傷病_PIE,567,56.97,8.24
1089,6,21,Elo戰力 + R5_攻防 + R10_四因子 + R5_節奏 + 傷病_PIE + 傷病_Fantasy,620,56.94,8.18
3047,9,30,Elo戰力 + R40_攻防 + R5_攻防 + R20_四因子 + R20_節奏 + R10_節奏 + R40_攻防差值 + 傷病_PIE + 傷病_Fantasy,620,56.94,8.18
2437,7,22,R5_攻防 + R20_四因子 + R20_節奏 + R5_節奏 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,599,56.93,8.16
1866,7,27,Elo戰力 + R40_攻防 + R20_四因子 + R10_四因子 + R10_節奏 + 傷病_NetRating + 傷病_Fantasy,591,56.85,8.02
3156,9,28,Elo戰力 + R5_攻防 + R10_四因子 + R20_節奏 + R10_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,614,56.84,8.0
2893,8,27,R40_攻防 + R5_攻防 + R20_四因子 + R10_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,607,56.84,7.99
2983,8,24,R5_攻防 + R20_四因子 + R20_節奏 + R10_節奏 + R5_節奏 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,595,56.81,7.93
3115,9,28,Elo戰力 + R40_攻防 + R20_四因子 + R10_節奏 + R5_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,632,56.8,7.93
3300,11,36,Elo戰力 + R5_攻防 + R20_四因子 + R10_四因子 + R20_節奏 + R10_節奏 + R5_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,588,56.8,7.93
1575,6,20,R5_攻防 + R20_四因子 + R5_節奏 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,622,56.75,7.83
1967,7,20,Elo戰力 + R40_攻防 + R10_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,645,56.74,7.81
965,6,22,Elo戰力 + R40_攻防 + R10_四因子 + R40_攻防差值 + 傷病_NetRating + 傷病_Fantasy,601,56.74,7.8
3057,9,29,Elo戰力 + R40_攻防 + R5_攻防 + R20_四因子 + R10_節奏 + R5_節奏 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,654,56.73,7.78
3059,9,30,Elo戰力 + R40_攻防 + R5_攻防 + R20_四因子 + R5_節奏 + R40_攻防差值 + 傷病_NetRating + 傷病_PIE + 傷病_Fantasy,633,56.71,7.76
